attempts,accuracy,recent_accuracy,difficulty,correct_answers,mastered
6,76.74,66.54,1,5,0
6,76.66,78.47,3,5,1
4,18.43,7.74,1,1,0
20,74.44,82.49,1,15,1
17,35.04,49.81,3,6,0
8,48.04,39.15,3,4,0
13,18.35,2.22,1,2,0
11,75.68,77.12,1,8,1
15,59.68,72.86,1,9,1
14,27.31,10.09,3,4,0
12,86.98,100.0,1,10,1
17,85.07,71.58,3,14,1
11,94.3,100.0,3,10,1
8,75.62,62.16,3,6,0
20,71.62,85.33,1,14,1
10,82.45,78.5,1,8,1
13,68.99,64.81,1,9,1
17,33.84,23.7,1,6,0
11,62.61,78.53,3,7,0
10,55.86,39.49,1,6,0
6,66.47,78.15,1,4,1
5,44.35,64.19,2,2,0
20,71.23,55.81,1,14,1
11,40.62,32.36,3,4,0
3,88.83,79.36,3,3,1
8,92.14,100.0,3,7,1
19,27.9,22.86,3,5,0
19,63.91,63.45,1,12,0
14,31.55,21.19,2,4,0
5,75.87,88.51,1,4,1
20,21.56,20.57,1,4,0
11,88.52,85.44,3,10,1
20,72.09,80.61,3,14,0
14,90.97,89.02,2,13,1
5,11.89,14.05,2,1,0
3,73.71,56.06,1,2,0
4,16.38,5.9,2,1,0
9,21.91,39.33,3,2,0
18,80.62,92.92,1,15,1
6,48.79,45.74,3,3,0
4,68.81,74.66,3,3,0
13,32.38,19.99,1,4,0
16,35.07,25.06,1,6,0
17,18.81,24.9,3,3,0
3,93.37,100.0,1,3,1
18,29.24,25.28,2,5,0
15,98.68,89.29,1,15,1
17,48.07,66.36,2,8,0
20,74.66,60.85,3,15,0
4,76.22,58.65,3,3,0
4,52.91,69.69,3,2,0
4,17.21,4.64,3,1,0
10,20.79,36.4,2,2,0
4,17.38,23.67,3,1,0
13,28.38,37.03,2,4,0
15,70.45,62.45,1,11,0
5,51.25,71.18,1,3,1
5,29.18,19.79,3,1,0
5,43.26,29.57,1,2,0
12,98.55,100.0,3,12,1
20,93.86,78.0,2,19,1
11,90.07,99.77,1,10,1
12,28.96,22.67,3,3,0
11,53.97,70.18,3,6,0
5,48.12,39.19,3,2,0
7,98.18,84.65,3,7,1
16,10.87,0.0,3,2,0
7,13.24,8.01,3,1,0
16,13.76,8.35,1,2,0
4,28.91,18.89,2,1,0
20,97.65,100.0,2,20,1
10,97.86,100.0,1,10,1
3,76.29,69.58,1,2,1
10,24.33,32.38,2,2,0
4,30.02,42.68,2,1,0
12,30.06,36.46,1,4,0
11,97.02,88.19,1,11,1
15,98.3,99.75,3,15,1
6,26.07,44.57,2,2,0
6,49.11,58.25,3,3,0
19,44.67,47.73,1,8,0
16,56.79,69.05,1,9,1
9,48.82,66.77,2,4,0
13,86.32,95.11,3,11,1
12,46.76,42.85,3,6,0
7,47.84,65.45,1,3,0
8,61.22,57.46,3,5,0
12,28.92,40.35,2,3,0
13,49.76,56.79,2,6,0
8,17.63,18.25,3,1,0
13,83.66,93.7,1,11,1
10,23.26,5.11,1,2,0
5,47.3,52.49,2,2,0
15,45.97,31.87,2,7,0
6,29.7,41.86,2,2,0
17,60.17,76.87,1,10,0
7,70.08,89.6,2,5,1
17,83.35,99.03,3,14,1
20,90.75,100.0,2,18,1
11,85.59,76.68,1,9,1
18,31.53,29.13,3,6,0
10,40.23,55.95,2,4,0
7,44.47,30.59,1,3,0
16,39.78,38.42,2,6,0
16,91.44,94.8,2,15,1
15,10.53,4.6,2,2,0
16,77.28,79.12,3,12,1
10,29.75,27.18,2,3,0
13,71.12,67.3,3,9,0
17,98.26,99.63,1,17,1
3,67.85,53.28,1,2,0
4,44.12,32.59,2,2,0
15,77.68,90.96,2,12,1
5,11.74,13.32,2,1,0
14,68.51,79.76,1,10,1
3,27.94,8.76,1,1,0
7,70.25,72.81,2,5,0
11,25.1,29.39,2,3,0
6,96.82,81.15,1,6,1
12,70.96,89.29,3,9,1
9,63.29,76.51,1,6,0
12,64.04,48.88,3,8,0
4,57.95,64.41,2,2,0
13,86.46,99.36,1,11,1
14,90.24,88.63,3,13,1
8,56.96,62.98,3,5,0
20,51.84,64.87,2,10,0
13,84.77,68.23,1,11,1
10,61.29,68.01,2,6,0
18,26.37,14.85,2,5,0
13,89.23,97.28,2,12,1
3,95.33,78.75,3,3,1
18,78.23,85.86,3,14,1
18,81.36,65.09,2,15,0
10,69.76,64.52,2,7,0
14,99.7,100.0,2,14,1
17,37.6,26.82,2,6,0
13,76.86,94.89,1,10,1
9,76.47,67.53,1,7,1
19,35.47,19.49,3,7,0
10,26.15,6.72,2,3,0
11,97.69,99.82,1,11,1
7,88.16,87.8,3,6,1
12,53.08,46.71,2,6,0
11,20.27,2.88,2,2,0
4,23.43,25.94,1,1,0
10,60.23,56.87,1,6,0
10,44.23,60.57,3,4,0
16,61.18,43.59,2,10,0
6,66.3,56.88,1,4,0
10,59.68,45.94,1,6,0
18,12.94,4.46,2,2,0
17,71.86,88.82,1,12,1
9,20.33,9.32,2,2,0
11,16.43,3.06,1,2,0
12,21.19,28.74,2,3,0
